MAGIC	WIZARDS
RP_GUI_CreateWndImgLbl	UU_GUI_CreateWndImgLbl
UU_GUI_SetBtnClickDir	Set_Button_Down_Offsets
Add_Button_Info	Add_Button_Info
Add_Button_Field	Add_Button_Field
UU_GUI_CreateToggleBtn	UU_GUI_CreateToggleBtn
UU_GUI_CreateLockblBtn	UU_GUI_CreateLockblBtn
UU_GUI_CreateMStateBtn	UU_GUI_CreateMStateBtn
Add_Hidden_Field	Add_Hidden_Field
UU_GUI_CreateWndLabel	UU_Add_Clipped_Hidden_Field
Add_Hot_Key	Add_Hot_Key
UU_GUI_CreateHelpLink	UU_GUI_CreateHelpLink
Add_Grid_Field	Add_Grid_Field
Add_Scroll_Field_Far	Add_Scroll_Field_Far
Find_Bar_Position	Find_Bar_Position
Increment_Scroll_Bar	Increment_Scroll_Bar
Decrement_Scroll_Bar	Decrement_Scroll_Bar
Clear_Fields	Clear_Fields
UU_GUI_NoSelectColor	NX_UU_GUI_NoSelectColor
UU_GUI_ScrollableTxtDlg	UU_GUI_ScrollableTxtDlg
UU_GUI_CreateTextDialog	Get_List_Field
UU_GUI_NoMouseHighlight	UU_GUI_NoMouseHighlight
GUI_MoveDlgHighlight	GUI_MoveDlgHighlight__STUB
UU_GUI_SetControlCount	Clear_Fields_Above
UU_GUI_GetControlCount	Get_Field_Counter
Init_Mouse_Keyboard	Init_Mouse_Keyboard
Get_Input	Get_Input
Set_Input_Delay	Set_Input_Delay
UU_GUI_GetDelay	UU_Get_Input_Delay
UU_GUI_ClearSelectable	UU_GUI_ClearSelectable
UU_GUI_SetSelectable	UU_GUI_SetSelectable
Draw_Fields	Draw_Fields
Draw_Field	Draw_Field
Push_Field_Down	Push_Field_Down
UU_GUI_SetDlgTitleHelp	UU_GUI_SetDlgTitleHelp
UU_GUI_ClearTitleHelp	UU_GUI_ClearTitleHelp
Assign_Auto_Function	Assign_Auto_Function
Save_Auto_Function	Save_Auto_Function
Restore_Auto_Function	Restore_Auto_Function
Deactivate_Auto_Function	Deactivate_Auto_Function
UU_Activate_Auto_Function	UU_Activate_Auto_Function
Invoke_Auto_Function	Invoke_Auto_Function
Quick_Call_Auto_Function	Quick_Call_Auto_Function
Call_Auto_Function	Call_Auto_Function
Toggle_Pages	Toggle_Pages
_find_proc	_find_proc
_API_timer	_API_timer
_init_DDA_arrays	_init_DDA_arrays
_bios_caller	_bios_caller
_hook_timer_process	_hook_timer_process
_unhook_timer_proc	_unhook_timer_proc
_set_PIT_divisor	_set_PIT_divisor
_program_timers	_program_timers
_AIL_startup	_AIL_startup
_AIL_shutdown	_AIL_shutdown
_AIL_register_timer	_AIL_register_timer
_AIL_release_tmr_hnd	_AIL_release_tmr_hnd
_AIL_start_timer	_AIL_start_timer
_AIL_stop_timer	_AIL_stop_timer
_AIL_set_timer_prd	_AIL_set_timer_prd
_AIL_int_divisor	_AIL_int_divisor
_AIL_register_driver	_AIL_register_driver
_AIL_release_drv_hnd	_AIL_release_drv_hnd
_AIL_describe_driver	_AIL_describe_driver
_AIL_init_driver	_AIL_init_driver
_AIL_shutdown_drvr	_AIL_shutdown_drvr
_AIL_unhook	_AIL_unhook
_AIL_hook	_AIL_hook
_block_type	_block_type
_marker_num	_marker_num
_DP_preformat	_DP_preformat
_CB_play_VOC	_CB_play_VOC
_CB_play_buffer	_CB_play_buffer
_next_block	_next_block
_next_buffer	_next_buffer
_process_block	_process_block
_process_buffer	_process_buffer
_DMA_transfer	_DMA_transfer
_xfer_chunk	_xfer_chunk
_DP_describe_driver	_DP_describe_driver
_DP_init_driver	_DP_init_driver
_DP_shutdown_driver	_DP_shutdown_driver
_DP_register_sb	_DP_register_sb
UU_DP_get_sb_status	UU_DP_get_sb_status
_DP_play_VOC_file	_DP_play_VOC_file
