segment_pair	ordinal	MAGIC	WIZARDS	size_ratio	normalized_similarity	normalized_line_edit_distance	normalized_line_edit_similarity	mnemonic_similarity	mnemonic_line_edit_distance	mnemonic_line_edit_similarity	magic_instruction_count	wizards_instruction_count
_AIL_->_AIL_	14	_AIL_register_timer	_AIL_register_timer	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	77	77
_AIL_->_AIL_	17	_AIL_start_timer	_AIL_start_timer	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	21	21
_AIL_->_AIL_	24	_AIL_int_divisor	_AIL_int_divisor	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	13	13
_AIL_->_AIL_	83	_marker_num	_marker_num	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	12	12
_AIL_->_AIL_	87	_CB_play_VOC	_CB_play_VOC	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	14	14
_AIL_->_AIL_	88	_CB_play_buffer	_CB_play_buffer	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	20	20
_AIL_->_AIL_	89	_next_block	_next_block	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	44	44
_AIL_->_AIL_	90	_next_buffer	_next_buffer	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	15	15
_AIL_->_AIL_	92	_process_buffer	_process_buffer	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	33	33
_AIL_->_AIL_	93	_DMA_transfer	_DMA_transfer	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	22	22
_AIL_->_AIL_	97	_DP_init_driver	_DP_init_driver	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	43	43
_AIL_->_AIL_	98	_DP_shutdown_driver	_DP_shutdown_driver	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	23	23
_AIL_->_AIL_	100	_DP_register_sb	_DP_register_sb	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	37	37
_AIL_->_AIL_	101	UU_DP_get_sb_status	UU_DP_get_sb_status	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	15	15
_AIL_->_AIL_	102	_DP_play_VOC_file	_DP_play_VOC_file	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	76	76
seg012->seg012	10	EMM_GetPageFrame	EMM_Get_Page_Frame	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	6	6
seg013->seg013	23	UU_EMM_VGAWrite_P5	RP_EMM_VGAWrite_P5	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	21	21
seg013->seg013	24	UU_EMM_VGARead_P5	RP_EMM_VGARead_P5	1.000000	1.000000	0	1.000000	1.000000	0	1.000000	21	21
